x "u(x, 1)"
# Parameters{boundary_condition_0=1.000000000000000000000;boundary_condition_1=-1.000000000000000000000;diffusivity=1.000000000000000000000;space_max=15.707963267948966000000;space_points=100;time_max=5.000000000000000000000;time_points=1001;};
# time=1.000000;time_point=200;
# space;temperature;
0.000000000000000000000 1.000000000000000000000
0.158666295635848140000 0.903818352436599470000
0.317332591271696270000 0.807833069848810310000
0.475998886907544380000 0.712262711431764560000
0.634665182543392550000 0.617368677670826590000
0.793331478179240770000 0.523472861852529840000
0.951997773815088770000 0.430971047553666220000
1.110664069450936900000 0.340341060486091420000
1.269330365086785100000 0.252145007068180940000
1.427996660722633300000 0.167025289941189400000
1.586662956358481500000 0.085694457599916660000
1.745329251994329500000 0.008919297292818373400
1.903995547630177500000 -0.062500104099633580000
2.062661843266025800000 -0.127755344716828030000
2.221328138901873700000 -0.186057555604367990000
2.379994434537722200000 -0.236666806358952900000
2.538660730173570200000 -0.278921713705267530000
2.697327025809418200000 -0.312267919014414920000
2.855993321445266600000 -0.336284184239737380000
3.014659617081114600000 -0.350704991503629270000
3.173325912716963100000 -0.355438707676820120000
3.331992208352811100000 -0.350580579306406130000
3.490658503988659100000 -0.336420043151360090000
3.649324799624507500000 -0.313442062472687970000
3.807991095260355100000 -0.282322419758419150000
3.966657390896203100000 -0.243917105166099990000
4.125323686532051500000 -0.199246130836276320000
4.283989982167899900000 -0.149472270204244220000
4.442656277803747500000 -0.095875365756760172000
4.601322573439595900000 -0.039822966730812259000
4.759988869075444400000 0.017261850699336532000
4.918655164711291900000 0.073934564228898436000
5.077321460347140400000 0.128764233406170190000
5.235987755982987900000 0.180368509584652090000
5.394654051618836400000 0.227447676095363430000
5.553320347254683900000 0.268816803884456060000
5.711986642890533300000 0.303435166809800820000
5.870652938526380800000 0.330432139843518270000
6.029319234162229300000 0.349128900448805730000
6.187985529798076800000 0.359055365959285670000
6.346651825433926100000 0.359961925171589430000
6.505318121069773700000 0.351825657588105020000
6.663984416705622100000 0.334850875615218420000
6.822650712341469700000 0.309463970164993050000
6.981317007977318100000 0.276302685059842460000
7.139983303613165700000 0.236200086916591530000
7.298649599249015000000 0.190163631370487500000
7.457315894884862600000 0.139349850325306200000
7.615982190520710100000 0.085035295353278958000
7.774648486156558600000 0.028584466704639828000
7.933314781792406100000 -0.028584466704639613000
8.091981077428254600000 -0.085035295353278750000
8.250647373064103000000 -0.139349850325306030000
8.409313668699951400000 -0.190163631370487330000
8.567979964335799900000 -0.236200086916591420000
8.726646259971648300000 -0.276302685059842400000
8.885312555607495000000 -0.309463970164993050000
9.043978851243343400000 -0.334850875615218420000
9.202645146879191900000 -0.351825657588105080000
9.361311442515040300000 -0.359961925171589540000
9.519977738150888800000 -0.359055365959285830000
9.678644033786737200000 -0.349128900448805960000
9.837310329422583900000 -0.330432139843518490000
9.995976625058432300000 -0.303435166809801090000
10.154642920694281000000 -0.268816803884456390000
10.313309216330129000000 -0.227447676095363760000
10.471975511965976000000 -0.180368509584652450000
10.630641807601824000000 -0.128764233406170550000
10.789308103237673000000 -0.073934564228898797000
10.947974398873523000000 -0.017261850699336875000
11.106640694509368000000 0.039822966730811933000
11.265306990145218000000 0.095875365756759867000
11.423973285781067000000 0.149472270204243950000
11.582639581416915000000 0.199246130836276070000
11.741305877052762000000 0.243917105166099800000
11.899972172688610000000 0.282322419758419040000
12.058638468324459000000 0.313442062472687850000
12.217304763960307000000 0.336420043151359980000
12.375971059596154000000 0.350580579306406070000
12.534637355232002000000 0.355438707676820120000
12.693303650867852000000 0.350704991503629270000
12.851969946503697000000 0.336284184239737490000
13.010636242139547000000 0.312267919014415030000
13.169302537775396000000 0.278921713705267690000
13.327968833411244000000 0.236666806358953070000
13.486635129047091000000 0.186057555604368150000
13.645301424682939000000 0.127755344716828200000
13.803967720318788000000 0.062500104099633774000
13.962634015954636000000 -0.008919297292818147800
14.121300311590483000000 -0.085694457599916410000
14.279966607226331000000 -0.167025289941189150000
14.438632902862182000000 -0.252145007068180660000
14.597299198498030000000 -0.340341060486091080000
14.755965494133877000000 -0.430971047553665890000
14.914631789769725000000 -0.523472861852529610000
15.073298085405574000000 -0.617368677670826370000
15.231964381041420000000 -0.712262711431764340000
15.390630676677269000000 -0.807833069848810200000
15.549296972313117000000 -0.903818352436599470000
15.707963267948966000000 -1.000000000000000000000
